config,model,rank,regime,gen,retention,distinct_1,distinct_2,unique_unigrams,unique_bigrams,norm_entropy,mean_length,response_uniqueness,total_tokens,verbosity_ratio,distinct1_ratio
g1_rank256_seed15,qwen,r256,degradative,8,0.782,0.6408099244260659,0.9315459212778094,4494,6532,0.9317937033690448,3.5065,0.9665,7013,1.4219383617193835,0.954826147211286
g1_rank256_seed15,qwen,r256,degradative,9,0.782,0.6437679967091732,0.9419912232583654,4695,6869,0.9376990883236968,3.6465,0.9815,7293,1.4787104622871046,0.9592337642808586
g1_rank256_seed15,qwen,r256,degradative,10,0.78,0.6574321473773028,0.9465541490857946,4675,6730,0.9463538206343028,3.5555,0.973,7111,1.4418085969180858,0.9795937615905913
g1_rank128_seed15,qwen,r128,bounded,0,1.0,0.6711273317112734,0.9521395254512269,3310,4695,0.9383567196923446,2.466,0.928,4932,1.0,1.0
g1_rank128_seed15,qwen,r128,bounded,1,0.91,0.6603009259259259,0.9573606019679722,3423,4962,0.9324030692852694,2.592,0.937,5184,1.051094890510949,0.9838683282980866
g1_rank128_seed15,qwen,r128,bounded,2,0.897,0.637384176764077,0.9456424879700588,3577,5306,0.9260061288491118,2.806,0.9365,5612,1.137875101378751,0.9497216796980144
g1_rank128_seed15,qwen,r128,bounded,3,0.885,0.6303641092327699,0.9447244350512112,3878,5811,0.9237191292355734,3.076,0.948,6152,1.2473641524736414,0.9392615669897344
g1_rank128_seed15,qwen,r128,bounded,4,0.872,0.6163747941924862,0.9347305389221557,4118,6244,0.9198714674607146,3.3405,0.964,6681,1.3546228710462287,0.9184170649417951
g1_rank128_seed15,qwen,r128,bounded,5,0.873,0.602635228848821,0.9300873907615481,4345,6705,0.9179978208445218,3.605,0.966,7210,1.4618815896188158,0.8979446974871255
g1_rank128_seed15,qwen,r128,bounded,6,0.885,0.5956362686177162,0.9290474323794591,4559,7110,0.9162047735736855,3.827,0.9755,7654,1.551905920519059,0.8875160352938297
g1_rank128_seed15,qwen,r128,bounded,7,0.885,0.5789473684210527,0.9273266152934203,4884,7822,0.912621860983546,4.218,0.9845,8436,1.7104622871046227,0.8626490698044204
g1_rank128_seed15,qwen,r128,bounded,8,0.885,0.5453689167974882,0.9132300607075571,5211,8725,0.9002440750800846,4.7775,0.981,9555,1.9373479318734792,0.8126161624305775
g1_rank128_seed15,qwen,r128,bounded,9,0.885,0.5140565867723914,0.9014147967919257,5705,10003,0.8885323349363067,5.549,0.9915,11098,2.2502027575020276,0.7659598447013396
g1_rank128_seed15,qwen,r128,bounded,10,0.886,0.4620694614223053,0.8762404717388178,6426,12185,0.8676353968883731,6.9535,0.99,13907,2.819748580697486,0.6884974573216948
g1_rank64_seed15,qwen,r64,homeostatic,0,1.0,0.6711273317112734,0.9521395254512269,3310,4695,0.9383567196923446,2.466,0.928,4932,1.0,1.0
g1_rank64_seed15,qwen,r64,homeostatic,1,0.923,0.657317795773257,0.949032003160806,3328,4804,0.930336881725576,2.5315,0.935,5063,1.0265612327656122,0.9794233742458318
g1_rank64_seed15,qwen,r64,homeostatic,2,0.91,0.6529492455418381,0.9484515876127009,3332,4839,0.9303812936149553,2.5515,0.928,5103,1.034671532846715,0.9729141024206481
g1_rank64_seed15,qwen,r64,homeostatic,3,0.91,0.6505791505791506,0.9482525584089593,3370,4911,0.9299305266555111,2.59,0.925,5180,1.0502838605028384,0.9693825893221664
g1_rank64_seed15,qwen,r64,homeostatic,4,0.897,0.6449990687278823,0.9517511177347243,3463,5109,0.9294619842974923,2.6845,0.93,5369,1.0886050283860502,0.9610680987812432
g1_rank64_seed15,qwen,r64,homeostatic,5,0.899,0.6363803568144197,0.9376379690949227,3460,5097,0.9260209568746339,2.7185,0.935,5437,1.1023925385239253,0.9482259576461384
g1_rank64_seed15,qwen,r64,homeostatic,6,0.91,0.6354356543930003,0.9420237010027347,3486,5167,0.9263808615143877,2.743,0.933,5486,1.1123276561232764,0.9468183224973648
g1_rank64_seed15,qwen,r64,homeostatic,7,0.91,0.646321818507249,0.9496956677407805,3611,5305,0.9269915773003331,2.7935,0.9405,5587,1.1328061638280615,0.9630390359147286
g1_rank64_seed15,qwen,r64,homeostatic,8,0.91,0.6260233408813796,0.9414634146341463,3594,5404,0.9219662529425191,2.8705,0.9395,5741,1.164030819140308,0.932793691005125
g1_rank64_seed15,qwen,r64,homeostatic,9,0.91,0.6263736263736264,0.9426412502146659,3648,5489,0.9192782851192057,2.912,0.9415,5824,1.1808596918085967,0.9333156269712161
g1_rank64_seed15,qwen,r64,homeostatic,10,0.911,0.6187086092715232,0.9364133134624938,3737,5655,0.9175720430009879,3.02,0.9415,6040,1.224655312246553,0.9218945199175685
gemma3_rank4_seed15,gemma3,r4,homeostatic,0,1.0,0.6984980945976238,0.9513452914798206,3116,4243,0.9447762780329731,2.2305,0.909,4461,1.0,1.0
gemma3_rank4_seed15,gemma3,r4,homeostatic,1,0.936,0.6990077177508269,0.9554477282752536,3170,4332,0.9436273425528829,2.2675,0.9135,4535,1.0165882089217664,1.000729598487304
gemma3_rank4_seed15,gemma3,r4,homeostatic,2,0.936,0.695049504950495,0.9546654929577465,3159,4338,0.9424971374751129,2.2725,0.915,4545,1.0188298587760591,0.9950628503158403
gemma3_rank4_seed15,gemma3,r4,homeostatic,3,0.936,0.6944014162425315,0.9544046038069942,3138,4312,0.9425589607842464,2.2595,0.915,4519,1.013001569154898,0.9941350185680146
gemma3_rank4_seed15,gemma3,r4,homeostatic,4,0.923,0.7061923583662714,0.958488908412036,3216,4364,0.9454713556410862,2.277,0.913,4554,1.0208473436449226,1.0110154398818796
gemma3_rank4_seed15,gemma3,r4,homeostatic,5,0.922,0.7004578155657293,0.958351504579154,3213,4395,0.943556458401529,2.2935,0.9185,4587,1.0282447881640886,1.0028056210650573
gemma3_rank4_seed15,gemma3,r4,homeostatic,6,0.922,0.7040572792362768,0.9572482638888888,3245,4411,0.9448806778687678,2.3045,0.9175,4609,1.0331764178435328,1.0079587685086748
gemma3_rank4_seed15,gemma3,r4,homeostatic,7,0.936,0.7023367547499454,0.9545653123634775,3216,4370,0.944141517241053,2.2895,0.9105,4579,1.0264514682806545,1.005495591444001
gemma3_rank4_seed15,gemma3,r4,homeostatic,8,0.936,0.7093073593073593,0.9614635202424767,3277,4441,0.9445024465924933,2.31,0.92,4620,1.0356422326832548,1.0154750095860494
gemma3_rank4_seed15,gemma3,r4,homeostatic,9,0.936,0.7094535993061578,0.9594448058989373,3272,4424,0.9446764544526913,2.306,0.9225,4612,1.0338489127998207,1.0156843730759852
gemma3_rank4_seed15,gemma3,r4,homeostatic,10,0.936,0.7025112685125563,0.9600686990124517,3273,4472,0.9443420804983377,2.3295,0.9185,4659,1.0443846671149966,1.0057454328737208
gemma3_rank16_seed15,gemma3,r16,degradative,0,1.0,0.6984980945976238,0.9513452914798206,3116,4243,0.9447762780329731,2.2305,0.909,4461,1.0,1.0
gemma3_rank16_seed15,gemma3,r16,degradative,1,0.846,0.692798353909465,0.9565754270426013,3367,4648,0.9413041272005517,2.43,0.915,4860,1.089441829186281,0.991840005388358
gemma3_rank16_seed15,gemma3,r16,degradative,2,0.756,0.7093314265284233,0.9676381190774181,3968,5412,0.9430372920827613,2.797,0.9415,5594,1.2539789284913696,1.0155094652577974
gemma3_rank16_seed15,gemma3,r16,degradative,3,0.718,0.6849946244816465,0.9671274961597542,4460,6296,0.9395968919068407,3.2555,0.966,6511,1.4595382201300156,0.9806678497473124
gemma3_rank16_seed15,gemma3,r16,degradative,4,0.692,0.6656122314485304,0.9636171895597153,5050,7310,0.9377188352049461,3.7935,0.9865,7587,1.7007397444519163,0.9529191798754475
gemma3_rank16_seed15,gemma3,r16,degradative,5,0.688,0.6463937621832359,0.9608786067065246,4974,7393,0.9393659860368937,3.8475,0.9935,7695,1.7249495628782783,0.9254051903399921
